name,stars,city,state_name,party,education,salary,median_rent_2025_10_31,population_density
St Honore Pastries,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Caviar & Bananas,3.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Wawa,3.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Helena Avenue Bakery,4.0,Santa Barbara,California,Democrat,38.6,101672.0,3646.9091098603294,
Mike's Ice Cream,4.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
McDonald's,1.5,St. Louis,Missouri,Democrat,46.7,55279.0,,1943.0
ReAnimator Coffee,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Red Hook Coffee & Tea,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Cafe Con Leche,2.5,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Nesbit's Magazine Street Market,5.0,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
The Hideout Coffee House,4.5,Brandon,Florida,Republican,39.6,77068.0,1944.9896640826876,
McDonald's,1.5,Lansdale,Pennsylvania,Democrat,55.4,86460.0,1966.2497212931996,
The Silo Eatery Coffee Bakery,4.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Liberty City Roasters,4.5,Bristol,Pennsylvania,Republican,,70595.0,1622.25,
McDonald's,2.0,Pennsville,New Jersey,Republican,,75162.0,,
Local Links,4.5,Haddon Heights,New Jersey,Democrat,38.8,126055.0,,
NY Bagel Cafe & Deli,3.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
McDonald's,1.5,St. Louis,Missouri,Democrat,46.7,55279.0,,1943.0
NY Bagel & Deli Shop,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
